utt_id	score
LA_E_1000147	-8.282604
LA_E_1000273	-7.068836
LA_E_1000791	-16.156620
LA_E_1000841 -10.693631
LA_E_1000989 -6.426350
LA_E_1001227 -11.102485
LA_E_1001232 1.211719
LA_E_1001320 -8.004757
LA_E_1001476 -9.977094
LA_E_1001893 -10.939529
LA_E_1001964 -9.906325
LA_E_1001976 -0.057014
LA_E_1002073 -9.680591
LA_E_1002282 -14.355226
LA_E_1002394 -8.420114
LA_E_1002474 -22.736275
LA_E_1002658 -11.664138
LA_E_1002683 -12.484964
LA_E_1002769 -10.343902
LA_E_1002802 -17.270720
LA_E_1002903 8.816541
LA_E_1002947 7.435622
LA_E_1002990 -9.728094
LA_E_1003128 3.059925
LA_E_1003228 -7.208438
LA_E_1003257 -16.415474
LA_E_1003530 -2.837492
LA_E_1003768 -6.767932
LA_E_1003846 -4.335934
LA_E_1004067 -10.837407
LA_E_1004363 4.635661
LA_E_1004506 -8.789033
LA_E_1004546 -12.955220
LA_E_1004665 0.654146
LA_E_1004704 3.564843
LA_E_1004940 -13.383994
LA_E_1005177 -3.747516
LA_E_1005209 5.636694
LA_E_1005234 -5.047482
LA_E_1005307 -6.416095
LA_E_1005517 4.523065
LA_E_1005565 -14.944638
LA_E_1005795 4.644740
LA_E_1005800 8.379661
LA_E_1006026 -19.301025
LA_E_1006250 6.689586
LA_E_1006317 -11.918523
LA_E_1006563 -7.665247
LA_E_1006585 -10.057233
LA_E_1006831 -5.123338
LA_E_1006883 -9.320765
LA_E_1006886 -5.199478
LA_E_1007069 -10.955840
LA_E_1007187 4.489246
LA_E_1007436 -16.512699
LA_E_1007733 -7.448538
LA_E_1007762 6.431718
LA_E_1007831 6.256199
LA_E_1007838 -6.346299
LA_E_1007872 8.943021
LA_E_1007889 -47.539413
LA_E_1007973 -10.091733
LA_E_1008103 -13.618576
LA_E_1008108 -9.697359
LA_E_1008240 -9.422008
LA_E_1008476 7.710000
LA_E_1008606 -13.611146
LA_E_1008655 -11.221752
LA_E_1009236 -15.070312
LA_E_1009254 -11.074988
LA_E_1009324 -11.662766
LA_E_1009429 -10.647971
LA_E_1009480 -19.307976
LA_E_1009522 -7.481081
LA_E_1009571 -7.126842
LA_E_1009640 -16.790695
LA_E_1009694 -6.953909
LA_E_1009886 -11.682791
LA_E_1009931 -4.765564
LA_E_1010033 -7.613509
LA_E_1010300 -9.908840
LA_E_1010349 7.221068
LA_E_1010357 -9.419096
LA_E_1010956 -6.658139
LA_E_1011107 -8.343562
LA_E_1011253 4.014489
LA_E_1011346 -7.868470
LA_E_1011450 -12.587653
LA_E_1011600 -4.745838
LA_E_1011677 -6.921848
LA_E_1011803 -7.141679
LA_E_1011807 5.401457
LA_E_1011816 -8.015373
LA_E_1011882 -11.241805
LA_E_1012015 -10.341712
LA_E_1012070 -10.033849
LA_E_1012151 2.315656
LA_E_1012317 -9.832677
LA_E_1012437 -10.949912
LA_E_1012465 -9.728368
LA_E_1012597 -15.970536
LA_E_1013088 -15.000896
LA_E_1013128 -9.088792
LA_E_1013208 -16.248985
LA_E_1013283 -8.098642
LA_E_1013289 -12.860024
LA_E_1013341 -10.671992
LA_E_1013351 6.088137
LA_E_1013369 -11.538612
LA_E_1013405 -10.397742
LA_E_1013410 -9.788705
LA_E_1013609 -10.479667
LA_E_1013639 0.584561
LA_E_1013757 -5.888452
LA_E_1014016 -7.192788
LA_E_1014345 -10.500499
LA_E_1014480 -8.211030
LA_E_1014516 -8.166812
LA_E_1014644 -10.076785
LA_E_1014715 -13.382007
LA_E_1015234 -7.993904
LA_E_1015388 1.199748
LA_E_1015427 -10.959562
LA_E_1015484 -0.828391
LA_E_1015629 10.461595
LA_E_1015648 -22.228138
LA_E_1015820 -13.061656
LA_E_1015860 -18.630375
LA_E_1015933 1.796609
LA_E_1016280 -7.800788
LA_E_1016317 -8.120132
LA_E_1016540 -15.709519
LA_E_1016620 -48.020519
LA_E_1016826 -9.578586
LA_E_1017049 -0.164583
LA_E_1017080 -14.621677
LA_E_1017239 -13.979082
LA_E_1017318 -18.681824
LA_E_1017665 -7.462128
LA_E_1017673 -9.706944
LA_E_1017763 -7.188395
LA_E_1018246 -19.291607
LA_E_1018400 -15.253037
LA_E_1018407 -13.340100
LA_E_1018538 -9.030012
LA_E_1018706 -6.824823
LA_E_1018975 2.106230
LA_E_1018997 2.208676
LA_E_1019043 -10.205878
LA_E_1019133 -6.663749
LA_E_1019297 3.592908
LA_E_1019441 -7.472438
LA_E_1019489 -7.189669
LA_E_1019819 7.980989
LA_E_1019869 -38.160538
LA_E_1019903 -12.751694
LA_E_1019949 -9.576578
LA_E_1020138 -11.144034
LA_E_1020167 -10.170112
LA_E_1020177 -6.823315
LA_E_1020219 -10.765069
LA_E_1020598 -12.749508
LA_E_1020651 -13.929370
LA_E_1021342 -12.053966
LA_E_1021626 -17.388359
LA_E_1021659 -8.339298
LA_E_1021884 -6.236241
LA_E_1022180 -5.458850
LA_E_1022202 -11.176011
LA_E_1022330 -9.158345
LA_E_1022506 -9.922748
LA_E_1022511 6.477385
LA_E_1022652 -23.364212
LA_E_1022956 -9.104175
LA_E_1023303 7.960753
LA_E_1023305 -9.038142
LA_E_1023406 -10.475621
LA_E_1023447 8.103570
LA_E_1023514 -11.321451
LA_E_1023616 -6.956896
LA_E_1023715 -10.514194
LA_E_1023808 -12.470960
LA_E_1023824 0.665350
LA_E_1023887 -6.205211
LA_E_1023930 -11.166950
LA_E_1024051 -12.060418
LA_E_1024164 7.949174
LA_E_1024324 -4.183437
LA_E_1024417 6.784419
LA_E_1024477 -19.297750
LA_E_1024600 -3.955282
LA_E_1024663 -13.358165
LA_E_1024907 -10.491713
LA_E_1024929 -9.734418
LA_E_1024952 6.403503
LA_E_1025145 0.652387
LA_E_1025210 -0.923527
LA_E_1025213 -7.233850
LA_E_1025389 -12.197432
LA_E_1025393 6.654770
LA_E_1025419 -4.346769
LA_E_1025750 -21.247021
LA_E_1026061 -13.459147
LA_E_1026507 6.566802
LA_E_1026533 0.220062
LA_E_1026560 -18.463779
LA_E_1026567 -12.172639
LA_E_1026587 -9.120538
LA_E_1026600 2.592734
LA_E_1027163 0.681213
LA_E_1027204 -10.227141
LA_E_1027220 6.096354
LA_E_1027275 -20.651428
LA_E_1027431 -11.801494
LA_E_1027444 -9.243464
LA_E_1027495 -10.184035
LA_E_1027501 -16.080751
LA_E_1027909 -0.972501
LA_E_1027985 -9.159379
LA_E_1028077 -10.118125
LA_E_1028101 -8.669072
LA_E_1028173 -11.805252
LA_E_1028467 -9.637959
LA_E_1028501 -14.524943
LA_E_1028565 6.230542
LA_E_1028769 -9.733468
LA_E_1028808 -19.065779
LA_E_1028811 -3.569214
LA_E_1028884 -13.713665
LA_E_1029132 -17.625267
LA_E_1029245 -7.176530
LA_E_1029259 -5.807476
LA_E_1029607 -13.247498
LA_E_1029650 -7.519334
LA_E_1029821 -18.224970
LA_E_1029849 -10.475159
LA_E_1029963 -12.868816
LA_E_1030028 -12.770217
LA_E_1030243 -14.253287
LA_E_1030253 -13.941883
LA_E_1030540 -19.472612
LA_E_1030568 -9.846628
LA_E_1030619 -7.710213
LA_E_1030819 0.403549
LA_E_1030894 -21.537632
LA_E_1030995 0.704933
LA_E_1031038 -9.660367
LA_E_1031204 -18.841446
LA_E_1031356 4.815198
LA_E_1031574 -18.792961
LA_E_1031731 -17.022413
LA_E_1031837 -7.519076
LA_E_1031891 -17.119913
LA_E_1031917 -15.938822
LA_E_1031931 -8.230166
